Stand ID	Tree Species	Stand Density	DBH	Tree Height	Crown Ratio	scorch height	col 7 ID	Fire severity
UWTB	QUGA4	40	3.9006	19.352	4	5.9	S	"""Low"""
UWTB	QUGA4	40	4.728	24.6	7	7.5	S	"""Low"""
UWTB	QUGA4	40	5.9494	28.536	4	8.7	S	"""Low"""
UWTB	QUGA4	40	9.85	27.224	4	8.3	S	"""Low"""
UWTB	QUGA4	40	3.743	22.96	3	6.51	S	"""Low"""
UWTB	QUGA4	40	10.9926	44.608	3	13.6	S	"""Low"""
UWTB	QUGA4	40	18.9908	90.528	3	21.39	S	"""Low"""
UWTB	QUGA4	40	2.758	17.056	5	5.2	S	"""Low"""
UWTB	QUGA4	40	7.8406	41.984	2	12.8	S	"""Low"""
UWTB	QUGA4	40	9.0226	55.76	4	9.48	S	"""Low"""
UWTB	QUGA4	40	6.6586	25.912	3	7.9	S	"""Low"""
UWTB	QUGA4	40	3.9006	29.848	5	9.1	S	"""Low"""
UWTB	QUGA4	40	2.364	15.088	6	4.6	S	"""Low"""
UWTB	QUGA4	40	6.0282	24.6	4	7.5	S	"""Low"""
UWTB	QUGA4	40	6.0676	20.336	4	6.2	S	"""Low"""
UWTB	QUGA4	40	6.7768	33.456	1	6.72	S	"""Low"""
UWTB	QUGA4	40	19.7394	43.952	3	6.04	S	"""Low"""
UWTB	QUGA4	40	7.092	36.08	4	5.42	S	"""Low"""
UWTB	QUGA4	40	14.6568	41.984	1	2.72	S	"""Low"""
UWTB	QUGA4	40	6.0282	20.336	3	6.2	S	"""Low"""
UWTB	QUGA4	40	6.5798	39.032	4	4.68	S	"""Low"""
UWTB	QUGA4	40	6.7768	32.8	1	8.28	S	"""Low"""
UWTB	QUGA4	40	3.8612	30.504	7	9.3	S	"""Low"""
UWTB	QUGA4	40	8.0376	28.208	3	8.6	S	"""Low"""
UWTB	QUGA4	40	2.0488	10.496	8	3.2	S	"""Low"""
UWTB	QUGA4	40	14.8144	44.936	4	12.93	S	"""Low"""
HLD01	QUGA4	30	2.167	10.824	4	3.3	S	"""Low"""
HLD01	QUGA4	30	4.925	27.88	4	4.72	S	"""Low"""
HLD01	QUGA4	30	4.531	33.784	6	5.9	S	"""Low"""
HLD01	QUGA4	30	4.8068	31.16	5	9.5	S	"""Low"""
HLD01	QUGA4	30	5.3584	23.616	3	6.69	S	"""Low"""
HLD01	QUGA4	30	11.5048	30.176	6	9.2	S	"""Low"""
HLD01	QUGA4	30	7.5648	39.032	4	11.9	S	"""Low"""
HLD01	QUGA4	30	8.4316	43.624	4	10.3	S	"""Low"""
HLD01	QUGA4	30	5.5948	23.288	5	5.5	S	"""Low"""
HLD01	QUGA4	30	4.4128	20.992	4	3.74	S	"""Low"""
HLD01	QUGA4	30	7.683	28.536	6	7.65	S	"""Low"""
HLD01	QUGA4	30	8.1558	36.08	3	11	S	"""Low"""
HLD01	QUGA4	30	4.6886	33.456	5	10.2	S	"""Low"""
HLD01	QUGA4	30	6.1858	35.424	6	8.92	S	"""Low"""
HLD01	QUGA4	30	7.88	37.72	4	9.46	S	"""Low"""
HLD01	QUGA4	30	9.1014	44.936	4	10.62	S	"""Low"""
HLD01	QUGA4	30	10.638	39.36	2	12	S	"""Low"""
HLD01	QUGA4	30	10.6774	36.08	3	4.52	S	"""Low"""
HLD01	QUGA4	30	9.1408	39.688	3	8.66	S	"""Low"""
HLD01	QUGA4	30	9.062	39.4256	4	7.988	S	"""Low"""
HLD01	QUGA4	30	11.7018	38.376	3	4.74	S	"""Low"""
HLD01	QUGA4	30	13.396	35.752	3	9.46	S	"""Low"""
HLD01	QUGA4	30	10.7168	44.936	3	9.2	S	"""Low"""
HLD01	QUGA4	30	3.94	18.04	3	5.5	S	"""Low"""
HLD01	QUGA4	30	11.82	36.736	2	11.2	S	"""Low"""
HLD01	QUGA4	30	9.653	40.344	2	12.3	S	"""Low"""
HLD01	QUGA4	30	5.2796	30.832	3	3.55	S	"""Low"""
HLD01	QUGA4	30	4.1764	23.288	4	7.1	S	"""Low"""
HLD01	QUGA4	30	4.8856	34.768	2	10.6	S	"""Low"""
HLD01	QUGA4	30	7.7224	33.456	5	10.2	S	"""Low"""
HLD01	QUGA4	30	2.0488	14.432	4	4.4	S	"""Low"""
HLD01	QUGA4	30	6.5798	36.736	4	11.2	S	"""Low"""
HLD01	QUGA4	30	5.4372	38.376	4	9.02	S	"""Low"""
HLD01	QUGA4	30	5.4766	23.944	2	7.3	S	"""Low"""
HLD01	QUGA4	30	5.516	28.864	2	8.13	S	"""Low"""
HLD01	QUGA4	30	5.91	35.424	3	6.48	S	"""Low"""
HLD01	QUGA4	30	4.9644	29.192	3	5.42	S	"""Low"""
HLD01	QUGA4	30	3.7824	17.384	8	4.66	S	"""Low"""
HLD01	QUGA4	30	7.6436	48.216	2	14.7	S	"""Low"""
HLD01	QUGA4	30	7.2102	14.432	4	4.4	S	"""Low"""
HLD01	QUGA4	30	7.2102	41.656	2	12.7	S	"""Low"""
HLD01	QUGA4	30	10.7562	39.36	6	10.16	S	"""Low"""
HLD01	QUGA4	30	10.4016	43.952	2	11.34	S	"""Low"""
HLD01	QUGA4	30	8.668	41	2	5.64	S	"""Low"""
HLD01	QUGA4	30	8.7074	34.112	7	8.6	S	"""Low"""
HLD01	QUGA4	30	6.7768	18.696	3	4.86	S	"""Low"""
HLD01	QUGA4	30	3.7036	17.384	5	5.3	S	"""Low"""
HLD01	QUGA4	30	4.925	36.408	6	9	S	"""Low"""
HLD01	QUGA4	30	7.8012	23.944	7	7.3	S	"""Low"""
HLD01	QUGA4	30	7.092	42.968	5	6.8	S	"""Low"""
HLD01	QUGA4	30	5.713	41.984	4	7.04	S	"""Low"""
