tag,site,DBH cm,height m,crown base ht m, CVS,CVC,bole char ht cm,bole ch DBH perc,bole ch base perc,mean depth consumed cm,prop duff cons ,mean duff depth cm,Cvsprouting percent,max sprout ht cm,scar,1yr_dieback,2yr_mort,2yr_basal sprouting,5yr_mort,,,
102,LH02,16.70,9.80,2.60,10,0,0.02,0,20,4.2125,0.854166667,4.275,,,0,0,NA,N,,,,
103,LH02,5.40,3.60,2.70,100,0,0.9,,,4.7375,0.968269231,5.15,,,0,100,TK,Y,,,,
104,LH02,25.20,18.20,10.10,90,0,1.1,40,100,7.442857143,0.875,7.442857143,,,0,0,L,N,,,,
105,LH02,26.60,16.10,6.70,20,0,0,0,0,3.975,0.625,3.975,,,0,0,L,N,,,,
106,LH02,10.20,7.80,2.30,90,0,1.5,30,100,8.82,0.625,8.82,,,0,20,L,N,,,,
107,LH02,14.60,11.80,3.30,20,0,0.8,0,100,0.7375,0.158088235,1.05,,,0,10,L,N,,,,
108,LH02,22.40,12.90,2.20,40,0,0,0,0,0,0,0,,,0,10,NA,N,,,,
109,LH02,17.10,11.50,3.60,30,0,0.5,0,20,3.5,0.623042929,5.125,,,0,70,NA,N,,,,
110,LH02,34.00,15.60,3.10,10,0,0.1,0,10,2.9,0.507453524,3.4625,,,0,5,NA,N,,,,
401,LH02,14.90,6.70,2.10,90,0,0,0,0,8.475,1,8.475,,,0,100,NA,N,,,,
32,WS02_S,8.90,4.10,0.61,10,0,0,0,0,0,0,0,,,0,5,L,,,,,
33,WS02_S,17.60,9.40,6.30,50,0,0.18,0,70,4.2625,0.857142857,4.7,,,0,0,L,,,,,
34,WS02_S,21.60,10.50,1.70,0,0,0.21,0,100,3.8375,0.884027778,4.25,,,0,10,L,,,,,
35,WS02_S,3.50,3.00,0.60,100,0,0.03,0,10,2.9375,0.6875,3.5,,,0,50,L,,,,,
36,WS02_S,13.30,8.10,1.30,100,10,1.49,10,100,7.714285714,1,7.714285714,,,0,90,L,,,,,
37,WS02_S,1.20,5.70,1.50,100,0,0.8,0,100,8.4125,1,8.4125,,,0,100,L,,,,,
38,WS02_S,6.10,5.10,2.70,100,0,0.3,0,100,4.525,0.946428571,4.7125,,,0,100,L,,,,,
39,WS02_S,25.70,11.10,2.40,100,20,2.74,100,100,6.1875,1,6.1875,,,0,100,NA,,,,,
40,WS02_S,8.80,5.10,2.00,100,0,0.55,0,100,5.428571429,1,5.428571429,,,0,100,L,,,,,
41,WS02_S,23.20,8.40,1.70,100,10,1.95,50,100,6.142857143,0.974025974,6.285714286,,,0,90,L,,,,,
42,WS02_S,14.20,8.10,2.20,100,0,0.65,0,100,7.3125,0.975,7.5,,,0,60,L,,,,,
43,WS02_S,18.50,8.70,3.80,100,0,0.4,0,80,7.333333333,0.907101449,8.416666667,,,0,10,L,,,,,
44,WS02_S,15.80,9.50,4.70,100,0,0.68,0,100,9.75,1,9.75,,,0,60,L,,,,,
45,WS02_S,3.80,3.60,1.70,100,0,0,0,0,6.6875,1,6.6875,,,0,100,L,,,,,
46,WS02_S,10.90,7.10,2.00,100,0,0.2,0,100,6.8125,0.928125,7.4375,,,0,40,L,,,,,
47,WS02_S,26.80,16.10,3.60,100,0,0.9,0,100,6.285714286,0.964285714,6.428571429,,,0,30,L,,,,,
48,WS02_S,24.70,11.40,3.80,80,0,0.6,0,50,7.0625,0.888848651,7.75,,,1,5,L,, ,,,
49,WS02_S,13.90,5.50,1.20,100,0,1,0,90,8,0.974789916,8.214285714,,,1,100,L,,,,,
50,WS02_S,3.10,2.70,1.20,80,0,0,0,0,0.4375,0.109375,4,,,1,50,L,,,,,
51,WS02_N,6.10,4.80,0.70,,,,,,,,,,,0,0,L,,,,,
552,WS02_S,5.20,3.10,0.90,100,30,0,0,0,0.875,0.367119565,1.9125,,,0,95,L,,,,,
553,WS02_S,27.90,15.30,4.80,100,10,2.74,100,100,9.125,1,9.125,,,0,50,L,,,,,
554,WS02_S,7.30,4.70,1.30,100,0,1.15,0,50,5.5625,1,5.5625,,,0,100,D,,,,,
555,WS02_S,16.00,7.00,1.30,100,10,1.73,50,100,8.2,1,8.2,,,0,100,L,,,,,
556,WS02_S,15.40,10.60,2.10,100,40,0.85,20,90,7.4375,1,7.4375,,,0,95,L,,,,,
557,WS02_N,11.60,8.50,2.20,0,,0,0,0,0,0,0,,,1,0,L,,,,,
558,WS02_N,12.10,4.20,2.00,10,,0,0,0,0,0,0,,,0,20,L,,,,,
559,WS02_N,15.50,7.30,2.50,,,,,,,1,,,,0,60,L,,,,,
560,WS02_N,22.70,10.50,1.20,,,,,,,,,,,0,0,L,,,,,
561,WS02_N,8.20,6.40,1.70,10,,0.3,0,100,3.9875,0.96547619,4.125,,,0,10,NA,,,,,
562,WS02_N,14.70,9.50,1.20,20,,0.25,0,90,8.2625,1,8.2625,,,0,10,L,,,,,
563,WS02_N,9.50,6.30,1.90,0,,0,0,0,0,0,0,,,0,0,L,,,,,
564,WS02_N,14.90,7.40,1.40,20,,0.25,0,100,6.775,1,6.775,,,0,10,L,,,,,
565,WS02_N,17.00,10.90,2.10,30,,0.2,0,100,2.971428571,0.663265306,4.614285714,,,0,10,L,,,,,
566,WS02_N,11.00,8.70,5.60,0,,0.7,0,100,4.5875,0.841804029,5.85,,,0,0,L,,,,,
567,WS02_N,20.50,11.10,2.70,100,,0.25,0,100,14.5,0.944444444,14.66666667,,,0,10,L,,,,,
568,WS02_N,11.00,5.90,2.00,60,,0.65,0,20,5.128571429,0.719659934,7.514285714,,,0,50,L,,,,,
569,WS02_N,13.90,9.30,4.20,0,,0,0,0,0,0.125,0,,,0,0,L,,,,,
570,WS02_N,10.50,8.70,3.70,0,,0.05,0,80,2.7,0.396829126,7.375,,,0,0,L,,,,,
571,WS02_N,5.70,3.90,1.40,100,,1.15,0,100,2.6875,0.546310333,6.475,,,0,100,TK,,,,,
572,WS02_N,6.70,4.60,1.00,0,,3,0,100,1.5,0.386676627,5.025,,,0,10,L,,,,,
573,WS02_N,9.00,5.20,2.60,0,,0.4,0,50,7,0.4,7.75,,,0,10,L,,,,,
574,WS02_N,14.00,9.50,2.90,0,,0.25,0,70,12.275,0.979166667,12.525,,,0,0,L,,,,,
575,WS02_N,4.20,3.80,0.90,20,,0.47,0,100,2.683333333,0.616249535,4.45,,,0,20,NA,,,,,
576,WS02_N,15.70,9.10,1.20,60,,0.18,0,80,6.1,0.561161854,9.914285714,,,0,30,L,,,,,
577,WS02_N,18.40,10.60,3.20,100,,3.2,20,100,7.228571429,0.668575431,10.07142857,,,0,20,L,,,,,
578,WS02_N,15.60,10.20,1.90,5,,0,0,0,0,0.142857143,0,,,0,10,L,,,,,
579,WS02_N,13.80,11.40,1.60,0,,0.3,0,100,3.825,0.61336927,7.275,,,0,0,L,,,,,
580,WS02_N,20.90,15.80,1.90,20,,0.3,0,100,4.9,0.761538462,6.114285714,,,0,10,L,,,,,
581,WS02_N,10.20,8.50,4.50,100,,0.5,0,100,6.675,0.750618132,10.5875,,,1,20,L,,,,,
991,UWE_04,44.80,13.1,2.8,10,0,0,0,0,4.15,0.377272727,7.25,,,1,10,L,,,,,
992,UWE_04,22.80,10,3.7,0,0,66,0,30,5.433333333,0.833333333,5.916666667,,,0,10,L,,,,,
993,UWE_04,6.50,4.9,1.7,10,0,0,0,0,1.525,0.289367267,4.4875,,,0,30,L,,,,,
994,UWE_04,9.80,5.7,1.8,20,0,35,0,20,0.371428571,0.079027356,4.614285714,,,0,10,L,,,,,
995,UWE_04,12.60,4.2,1.8,90,0,34,0,80,3.1,0.661233211,4.2125,,,0,20,L,,,,,
996,UWE_04,6.30,2.4,1.3,50,0,150,70,60,4.875,1.09724034,7.4125,,,0,60,L,,,,,
997,UWE_04,20.00,11.3,6.5,0,0,10,0,90,4.125,0.628013778,6.8625,,,0,0,L,,,,,
998,UWE_04,15.00,9.3,3.2,30,0,6,0,20,6.3,0.952205882,6.4625,,,0,20,L,,,,,
999,UWE_04,7.50,5.3,1.5,0,0,0,0,0,0,0,6.728571429,,,0,0,L,,,,,
1000,UWE_04,6.70,4.89,2.17,0,0,51,0,100,3.15,0.623719566,5.4125,,,0,10,L,,,,,
2327,UWE_04,4.50,2.01,1.14,60,0,129,0,80,1.1125,0.184807692,5.0375,,,0,10,L,,,,,
2339,UWE_04,5.70,4.8,2.4,0,0,50,0,90,2.9375,0.60450448,4.55,,,0,20,L,,,,,
2340,UWE_04,10.20,7.7,2.71,0,0,103,0,60,1.1,0.198727655,4.771428571,,,0,20,L,,,,,
2341,UWE_04,35.80,14.2,5.28,0,0,45,0,10,0.9,0.175480769,4.6875,,,0,0,L,,,,,
2342,UWE_04,4.80,2.26,0.92,0,0,53,0,50,4.571428571,0.561415988,8.142857143,,,0,60,L,,,,,
2343,UWE_04,23.00,11.89,1.96,0,0,10,0,5,2.716666667,0.355293769,6.65,,,0,0,L,,,,,
2344,UWE_04,33.00,16.3,6.6,0,0,0,0,0,0,0,4.7,,,0,0,L,,,,,
2345,UWE_04,17.20,7.88,4.43,0,0,12,0,20,4.371428571,0.580804954,6.814285714,,,0,0,L,,,,,
2346,UWE_04,14.50,8.66,2.6,20,0,95,0,80,1.557142857,0.346642666,4.257142857,,,0,20,L,,,,,
2363,UWE_04,31.80,13.32,3.74,0,0,43,0,90,4.575,1.444860248,4.6375,,,0,0,L,,,,,
2368,UWE_04,25.00,15.9,3.73,0,0,0,0,0,0.642857143,0.079121201,6.571428571,,,0,10,L,,,,,
2389,UWE_04,6.40,4.73,3.2,10,0,25,0,100,2.571428571,0.447644484,4.742857143,,,0,50,L,,,,,
2410,UWE_04,37.50,16.5,3.9,0,0,0,0,0,1.0875,0.127199172,7.3875,,,0,0,L,,,,,
